# 240911_11:06:17.357554
t	CH1	CH2
0.000000e+00	-2.055354e-03	-1.293869e+01
1.000000e-08	-2.033212e-03	-1.295134e+01
2.000000e-08	-1.604208e-03	-1.300132e+01
3.000000e-08	-1.679787e-03	-1.294398e+01
4.000000e-08	-2.154792e-03	-1.300408e+01
5.000000e-08	-2.311081e-03	-1.304255e+01
6.000000e-08	-2.045502e-03	-1.304766e+01
7.000000e-08	-1.666815e-03	-1.304814e+01
8.000000e-08	-1.941456e-03	-1.308823e+01
9.000000e-08	-2.157463e-03	-1.309866e+01
1.000000e-07	-2.198768e-03	-1.309821e+01
1.100000e-07	-1.951985e-03	-1.307969e+01
1.200000e-07	-1.749115e-03	-1.310917e+01
1.300000e-07	-2.011331e-03	-1.309627e+01
1.400000e-07	-2.281660e-03	-1.312869e+01
1.500000e-07	-2.169823e-03	-1.303622e+01
1.600000e-07	-1.940645e-03	-1.308664e+01
1.700000e-07	-1.891423e-03	-1.303511e+01
1.800000e-07	-2.048969e-03	-1.303566e+01
1.900000e-07	-2.113553e-03	-1.304453e+01
2.000000e-07	-2.159553e-03	-1.301250e+01
2.100000e-07	-2.004857e-03	-1.298287e+01
2.200000e-07	-1.979243e-03	-1.299187e+01
2.300000e-07	-1.968979e-03	-1.294077e+01
2.400000e-07	-2.189538e-03	-1.291822e+01
2.500000e-07	-2.020958e-03	-1.287768e+01
2.600000e-07	-1.901809e-03	-1.289511e+01
2.700000e-07	-1.940130e-03	-1.281396e+01
2.800000e-07	-2.112428e-03	-1.280297e+01
2.900000e-07	-2.168242e-03	-1.271034e+01
3.000000e-07	-2.115802e-03	-1.269721e+01
3.100000e-07	-1.741235e-03	-1.264661e+01
3.200000e-07	-1.958632e-03	-1.264401e+01
3.300000e-07	-2.095945e-03	-1.258340e+01
3.400000e-07	-2.062644e-03	-1.254080e+01
3.500000e-07	-1.917287e-03	-1.246664e+01
3.600000e-07	-1.936824e-03	-1.245556e+01
3.700000e-07	-1.926267e-03	-1.238245e+01
3.800000e-07	-2.043229e-03	-1.232125e+01
3.900000e-07	-2.086073e-03	-1.227761e+01
4.000000e-07	-1.988848e-03	-1.219358e+01
4.100000e-07	-1.835513e-03	-1.214087e+01
4.200000e-07	-1.994231e-03	-1.209727e+01
4.300000e-07	-2.026288e-03	-1.200555e+01
4.400000e-07	-1.698343e-03	-1.194975e+01
4.500000e-07	-1.815017e-03	-1.183829e+01
4.600000e-07	-1.915765e-03	-1.179298e+01
4.700000e-07	-1.750643e-03	-1.171924e+01
4.800000e-07	-1.881602e-03	-1.158355e+01
4.900000e-07	-1.959060e-03	-1.151980e+01
5.000000e-07	-1.701361e-03	-1.140403e+01
5.100000e-07	-1.782503e-03	-1.130631e+01
5.200000e-07	-2.107208e-03	-1.119354e+01
5.300000e-07	-1.780100e-03	-1.110879e+01
5.400000e-07	-1.316494e-03	-1.100401e+01
5.500000e-07	-1.402209e-03	-1.093835e+01
5.600000e-07	-1.717014e-03	-1.081411e+01
5.700000e-07	-1.677450e-03	-1.074042e+01
5.800000e-07	-1.804376e-03	-1.066559e+01
5.900000e-07	-1.934139e-03	-1.053142e+01
6.000000e-07	-2.006817e-03	-1.046816e+01
6.100000e-07	-1.870189e-03	-1.030137e+01
6.200000e-07	-1.641516e-03	-1.024563e+01
6.300000e-07	-1.290287e-03	-1.009127e+01
6.400000e-07	-1.331373e-03	-9.993478e+00
6.500000e-07	-1.638689e-03	-9.918743e+00
6.600000e-07	-1.697214e-03	-9.793103e+00
6.700000e-07	-1.781189e-03	-9.697713e+00
6.800000e-07	-1.782640e-03	-9.562603e+00
6.900000e-07	-1.712354e-03	-9.466711e+00
7.000000e-07	-1.705927e-03	-9.331900e+00
7.100000e-07	-1.710509e-03	-9.227136e+00
7.200000e-07	-1.439865e-03	-9.141318e+00
7.300000e-07	-1.371214e-03	-9.002053e+00
7.400000e-07	-1.378888e-03	-8.876741e+00
7.500000e-07	-1.669902e-03	-8.770880e+00
7.600000e-07	-1.635907e-03	-8.644530e+00
7.700000e-07	-1.454963e-03	-8.488139e+00
7.800000e-07	-1.558259e-03	-8.359927e+00
7.900000e-07	-1.579694e-03	-8.235665e+00
8.000000e-07	-1.575821e-03	-8.129823e+00
8.100000e-07	-1.280753e-03	-7.994076e+00
8.200000e-07	-1.243748e-03	-7.877632e+00
8.300000e-07	-1.361811e-03	-7.687712e+00
8.400000e-07	-1.386216e-03	-7.538847e+00
8.500000e-07	-1.302720e-03	-7.381525e+00
8.600000e-07	-1.243489e-03	-7.225634e+00
8.700000e-07	-1.343784e-03	-7.096792e+00
8.800000e-07	-1.405858e-03	-6.939446e+00
8.900000e-07	-1.427078e-03	-6.791454e+00
9.000000e-07	-1.302668e-03	-6.644187e+00
9.100000e-07	-1.317450e-03	-6.519294e+00
9.200000e-07	-1.030665e-03	-6.390952e+00
9.300000e-07	-1.019010e-03	-6.174535e+00
9.400000e-07	-1.162854e-03	-6.025633e+00
9.500000e-07	-1.199072e-03	-5.887308e+00
9.600000e-07	-1.254141e-03	-5.707823e+00
9.700000e-07	-1.220426e-03	-5.612529e+00
9.800000e-07	-1.322038e-03	-5.432605e+00
9.900000e-07	-1.355714e-03	-5.233162e+00
1.000000e-06	-1.130051e-03	-5.075158e+00
1.010000e-06	-1.032287e-03	-4.875164e+00
1.020000e-06	-8.725171e-04	-4.674537e+00
1.030000e-06	-9.566771e-04	-4.518846e+00
1.040000e-06	-1.034778e-03	-4.383031e+00
1.050000e-06	-1.091617e-03	-4.275292e+00
1.060000e-06	-1.069797e-03	-4.138342e+00
1.070000e-06	-1.211837e-03	-3.982001e+00
1.080000e-06	-1.091448e-03	-3.785104e+00
1.090000e-06	-9.211333e-04	-3.633533e+00
1.100000e-06	-6.849526e-04	-3.466266e+00
1.110000e-06	-8.279186e-04	-3.308845e+00
1.120000e-06	-8.674635e-04	-3.161403e+00
1.130000e-06	-8.663927e-04	-2.975476e+00
1.140000e-06	-8.422300e-04	-2.812528e+00
1.150000e-06	-9.621259e-04	-2.645709e+00
1.160000e-06	-9.834009e-04	-2.495666e+00
1.170000e-06	-1.022283e-03	-2.369894e+00
1.180000e-06	-7.007899e-04	-2.178978e+00
1.190000e-06	-6.497643e-04	-1.979952e+00
1.200000e-06	-6.738295e-04	-1.804104e+00
1.210000e-06	-7.399875e-04	-1.615111e+00
1.220000e-06	-6.970520e-04	-1.497293e+00
1.230000e-06	-5.937663e-04	-1.229188e+00
1.240000e-06	-6.917362e-04	-1.086212e+00
1.250000e-06	-5.686417e-04	-9.078883e-01
1.260000e-06	-6.756049e-04	-7.599746e-01
1.270000e-06	-5.123015e-04	-5.424736e-01
1.280000e-06	-5.251108e-04	-3.515236e-01
1.290000e-06	-4.597176e-04	-2.430578e-01
1.300000e-06	-3.800609e-04	-8.511164e-02
1.310000e-06	-7.698350e-05	1.032593e-01
1.320000e-06	1.362725e-03	2.927028e-01
1.330000e-06	1.504670e-03	4.420815e-01
1.340000e-06	-9.978176e-04	6.080188e-01
1.350000e-06	5.714891e-05	7.579934e-01
1.360000e-06	1.087797e-03	8.931845e-01
1.370000e-06	-5.201613e-04	1.145282e+00
1.380000e-06	-3.858321e-04	1.283684e+00
1.390000e-06	4.673491e-03	1.472675e+00
1.400000e-06	1.782806e-02	1.723157e+00
1.410000e-06	9.384374e-03	1.914138e+00
1.420000e-06	-3.255901e-02	2.042605e+00
1.430000e-06	-1.649584e-02	2.210475e+00
1.440000e-06	1.159661e-02	2.357369e+00
1.450000e-06	-1.620447e-02	2.443050e+00
1.460000e-06	2.353890e-02	2.690025e+00
1.470000e-06	1.109132e-02	2.820601e+00
1.480000e-06	-3.902489e-02	2.905238e+00
1.490000e-06	4.074771e-02	3.126684e+00
1.500000e-06	1.869080e-02	3.242529e+00
1.510000e-06	-4.764124e-02	3.368425e+00
1.520000e-06	2.371096e-02	3.588422e+00
1.530000e-06	2.357922e-02	3.736766e+00
1.540000e-06	-4.401630e-02	3.923107e+00
1.550000e-06	2.107870e-02	4.084131e+00
1.560000e-06	2.681640e-02	4.272707e+00
1.570000e-06	-2.807866e-02	4.440451e+00
1.580000e-06	-4.774871e-04	4.599471e+00
1.590000e-06	1.961484e-02	4.776289e+00
1.600000e-06	-1.431382e-02	4.916364e+00
1.610000e-06	-1.555186e-02	5.137267e+00
1.620000e-06	2.023352e-02	5.354837e+00
1.630000e-06	8.327269e-03	5.518263e+00
1.640000e-06	-6.236638e-03	5.702525e+00
1.650000e-06	-3.285287e-03	5.880501e+00
1.660000e-06	-2.588638e-03	6.000370e+00
1.670000e-06	8.532401e-03	6.139318e+00
1.680000e-06	-5.527851e-03	6.335161e+00
1.690000e-06	-4.869948e-03	6.461551e+00
1.700000e-06	9.595424e-03	6.612497e+00
1.710000e-06	2.869243e-03	6.798871e+00
1.720000e-06	-1.012839e-03	6.926312e+00
1.730000e-06	1.264538e-03	7.044607e+00
1.740000e-06	-1.443700e-03	7.208396e+00
1.750000e-06	-6.731492e-03	7.336767e+00
1.760000e-06	4.904949e-03	7.506738e+00
1.770000e-06	5.806111e-03	7.695136e+00
1.780000e-06	-2.412302e-03	7.822575e+00
1.790000e-06	1.954474e-03	7.969401e+00
1.800000e-06	3.443023e-03	8.207212e+00
1.810000e-06	6.695561e-05	8.243104e+00
1.820000e-06	-2.311834e-03	8.347395e+00
1.830000e-06	-6.764231e-04	8.475635e+00
1.840000e-06	7.322322e-04	8.589872e+00
1.850000e-06	2.046876e-03	8.695239e+00
1.860000e-06	2.524981e-03	8.840899e+00
1.870000e-06	1.392040e-03	8.938317e+00
1.880000e-06	1.924781e-03	9.043208e+00
1.890000e-06	-4.017677e-04	9.210549e+00
1.900000e-06	-2.164299e-04	9.327213e+00
1.910000e-06	1.236720e-03	9.443049e+00
1.920000e-06	7.566310e-04	9.536812e+00
1.930000e-06	1.101235e-03	9.675131e+00
1.940000e-06	1.270691e-03	9.841849e+00
1.950000e-06	1.051761e-03	9.908316e+00
1.960000e-06	1.098688e-03	1.002306e+01
1.970000e-06	1.402192e-03	1.014032e+01
1.980000e-06	8.454555e-04	1.025355e+01
1.990000e-06	6.590028e-04	1.035041e+01
2.000000e-06	1.789901e-03	1.047561e+01
2.010000e-06	1.487128e-03	1.061040e+01
2.020000e-06	7.725462e-04	1.066416e+01
2.030000e-06	5.221237e-04	1.078097e+01
2.040000e-06	4.998561e-04	1.092827e+01
2.050000e-06	1.311367e-03	1.099298e+01
2.060000e-06	1.717473e-03	1.109516e+01
2.070000e-06	1.537533e-03	1.119187e+01
2.080000e-06	1.150212e-03	1.126461e+01
2.090000e-06	1.226125e-03	1.138032e+01
2.100000e-06	1.638912e-03	1.145708e+01
2.110000e-06	6.961258e-04	1.158885e+01
2.120000e-06	2.230368e-04	1.165356e+01
2.130000e-06	8.670870e-04	1.172879e+01
2.140000e-06	1.408749e-03	1.180045e+01
2.150000e-06	2.072231e-03	1.186369e+01
2.160000e-06	1.920528e-03	1.191926e+01
2.170000e-06	1.359474e-03	1.202398e+01
2.180000e-06	7.108092e-04	1.203671e+01
2.190000e-06	8.566192e-04	1.216829e+01
2.200000e-06	1.266640e-03	1.219392e+01
2.210000e-06	9.083782e-04	1.226503e+01
2.220000e-06	1.080176e-03	1.232026e+01
2.230000e-06	1.614653e-03	1.237843e+01
2.240000e-06	1.740897e-03	1.243248e+01
2.250000e-06	1.929610e-03	1.247521e+01
2.260000e-06	9.021234e-04	1.251776e+01
2.270000e-06	7.231394e-04	1.258992e+01
2.280000e-06	1.137749e-03	1.260348e+01
2.290000e-06	1.421361e-03	1.262566e+01
2.300000e-06	1.505421e-03	1.267524e+01
2.310000e-06	1.402294e-03	1.278924e+01
2.320000e-06	1.316720e-03	1.276297e+01
2.330000e-06	9.995597e-04	1.282511e+01
2.340000e-06	1.390900e-03	1.283561e+01
2.350000e-06	1.537252e-03	1.290666e+01
2.360000e-06	1.224444e-03	1.292882e+01
2.370000e-06	1.544003e-03	1.294927e+01
2.380000e-06	1.718645e-03	1.300290e+01
2.390000e-06	1.658339e-03	1.298305e+01
2.400000e-06	1.209911e-03	1.304310e+01
2.410000e-06	1.155811e-03	1.304563e+01
2.420000e-06	1.121658e-03	1.304521e+01
2.430000e-06	1.289902e-03	1.307574e+01
2.440000e-06	1.798664e-03	1.309721e+01
2.450000e-06	1.538656e-03	1.309729e+01
2.460000e-06	1.352968e-03	1.311681e+01
2.470000e-06	1.591197e-03	1.309621e+01
2.480000e-06	1.606047e-03	1.311781e+01
2.490000e-06	1.176325e-03	1.308779e+01
2.500000e-06	1.075782e-03	1.311816e+01
2.510000e-06	1.363760e-03	1.311656e+01
2.520000e-06	1.451253e-03	1.306823e+01
2.530000e-06	1.641504e-03	1.304511e+01
2.540000e-06	1.796719e-03	1.303361e+01
2.550000e-06	1.705773e-03	1.302398e+01
2.560000e-06	1.161000e-03	1.299290e+01
2.570000e-06	1.190618e-03	1.295143e+01
2.580000e-06	1.445214e-03	1.298084e+01
2.590000e-06	1.211095e-03	1.291929e+01
2.600000e-06	1.157830e-03	1.285778e+01
2.610000e-06	1.649111e-03	1.282668e+01
2.620000e-06	1.621242e-03	1.283303e+01
2.630000e-06	1.401515e-03	1.279350e+01
2.640000e-06	1.371990e-03	1.274292e+01
2.650000e-06	1.155385e-03	1.270972e+01
2.660000e-06	1.042500e-03	1.267774e+01
2.670000e-06	1.422048e-03	1.264413e+01
2.680000e-06	1.416208e-03	1.260303e+01
2.690000e-06	1.298254e-03	1.257192e+01
2.700000e-06	1.127105e-03	1.254844e+01
2.710000e-06	1.392160e-03	1.250712e+01
2.720000e-06	1.399702e-03	1.243618e+01
2.730000e-06	1.176386e-03	1.241155e+01
2.740000e-06	1.230476e-03	1.229984e+01
2.750000e-06	1.059577e-03	1.224516e+01
2.760000e-06	1.294390e-03	1.221441e+01
2.770000e-06	1.233742e-03	1.216040e+01
2.780000e-06	1.278239e-03	1.207816e+01
2.790000e-06	1.183658e-03	1.199462e+01
2.800000e-06	1.122952e-03	1.194047e+01
2.810000e-06	1.158448e-03	1.187717e+01
2.820000e-06	1.033787e-03	1.181248e+01
2.830000e-06	1.118527e-03	1.171832e+01
2.840000e-06	1.319979e-03	1.162561e+01
2.850000e-06	1.196584e-03	1.150882e+01
2.860000e-06	1.085357e-03	1.145614e+01
2.870000e-06	1.174588e-03	1.133192e+01
2.880000e-06	1.007132e-03	1.125566e+01
2.890000e-06	9.556262e-04	1.115142e+01
2.900000e-06	9.941859e-04	1.103716e+01
2.910000e-06	1.033236e-03	1.094045e+01
2.920000e-06	1.151071e-03	1.088734e+01
2.930000e-06	1.137513e-03	1.078353e+01
2.940000e-06	1.026181e-03	1.066819e+01
2.950000e-06	9.379734e-04	1.054200e+01
